,availableBikes,departs,id,lat,lng,stAddress,totalDocks
525,15,4,3344,40.679043,-74.011169,Pioneer St & Van Brunt St,19
526,1,34,3345,40.78948541553215,-73.95242929458618,Madison Ave & E 99 St,35
527,3,26,3346,40.675146838709786,-73.97523209452629,Berkeley Pl & 7 Ave,29
528,15,4,3347,40.6773429,-74.01275056,Van Brunt St & Wolcott St,21
529,16,3,3348,40.677236,-74.015665,Coffey St & Conover St,19
530,1,28,3349,40.6729679,-73.97087984,Grand Army Plaza & Plaza St West,30
531,0,39,3350,40.7973721,-73.97041192,W 100 St & Broadway,39
532,6,19,3351,40.7869946,-73.94164802,E 102 St & 1 Ave,25
533,20,1,3352,40.67267243410948,-74.0087952464819,Sigourney St & Columbia St,21
534,4,27,3354,40.668132,-73.97363831,3 St & Prospect Park West,31
535,2,23,3355,40.76800889305947,-73.96845281124115,E 66 St & Madison Ave,25
536,0,20,3356,40.7746671,-73.98470567,Amsterdam Ave & W 66 St,21
537,0,35,3357,40.8008363,-73.9664492472,W 106 St & Amsterdam Ave,35
538,3,21,3358,40.6711978,-73.97484126,Garfield Pl & 8 Ave,25
539,3,32,3359,40.7691572,-73.96703464,E 68 St & Madison Ave,35
540,3,21,3360,40.7829391,-73.9786517,Amsterdam Ave & W 79 St,25
541,3,19,3361,40.6740886,-73.9787282,Carroll St & 6 Ave,23
542,4,29,3362,40.7781314,-73.96069399,Madison Ave & E 82 St,34
543,0,33,3363,40.7904828,-73.95033068,E 102 St & Park Ave,33
544,19,8,3364,40.6751622,-73.9814832,Carroll St & 5 Ave,27
545,2,24,3365,40.6703837,-73.97839676,3 St & 7 Ave,27
546,3,27,3366,40.8021174,-73.9681805305,West End Ave & W 107 St,31
547,3,36,3367,40.7922553,-73.95249933,5 Ave & E 103 St,39
548,7,21,3368,40.6728155,-73.98352355,5 Ave & 3 St,30
549,4,24,3369,40.7724607,-73.9468208,E 82 St & East End Ave,29
550,3,22,3370,40.7727966,-73.95577801,E 78 St & 2 Ave,25
551,6,20,3371,40.674613422475815,-73.98501142859459,4 Ave & 2 St,27
552,0,37,3372,40.7689738,-73.95482273,E 74 St & 1 Ave,39
553,15,10,3373,40.6750705,-73.98775226,3 St & 3 Ave,27
554,10,24,3374,40.799484,-73.955613,Central Park North & Adam Clayton Powell Blvd,36
555,3,30,3375,40.7699426,-73.96060712,3 Ave & E 72 St,35
556,3,36,3376,40.76471851944339,-73.96222069859505,E 65 St & 2 Ave,39
557,8,16,3377,40.6786115,-73.99037292,Carroll St & Bond St,25
558,0,26,3378,40.773763,-73.96222088,E 76 St & Park Ave,28
559,2,32,3379,40.7903051,-73.94755757,E 103 St & Lexington Ave,35
560,16,5,3381,40.6777287,-73.99364123,3 St & Hoyt St,21
561,22,6,3382,40.680611,-73.99475825,Carroll St & Smith St,31
562,0,24,3383,40.804213,-73.96699104,Cathedral Pkwy & Broadway,25
563,13,10,3384,40.6787242,-73.99599099,Smith St & 3 St,25
564,0,25,3386,40.6809591,-73.99905709,1 Pl & Clinton St,27
565,0,25,3387,40.7934337,-73.94945003,E 106 St & Madison Ave,25
566,16,8,3388,40.6828003,-73.99990419,President St & Henry St,25
567,1,27,3389,40.6830456,-74.00348559,Carroll St & Columbia St,28
568,1,22,3390,40.79329668,-73.9432083,E 109 St & 3 Ave,24
569,0,25,3391,40.7892529,-73.93956237,E 106 St & 1 Ave,25
